-156,-1091,523,60,87,137,1649,-1802,1165
-163,-1069,738,31,-43,109,1659,-1814,1166
-140,-1072,728,25,-21,135,1651,-1822,1168
-146,-1079,732,31,-25,149,1661,-1802,1163
-154,-1072,738,21,-21,137,1655,-1806,1169
-152,-1069,732,15,-15,129,1657,-1834,1135
-152,-1074,726,11,-7,121,1649,-1804,1138
-149,-1074,729,24,-24,140,1641,-1824,1160
-160,-1074,740,16,-13,123,1652,-1805,1159
-161,-1065,733,18,-19,131,1650,-1803,1148
-157,-1074,737,14,-14,134,1638,-1819,1153
-152,-1085,736,24,-19,134,1648,-1813,1149
-155,-1066,730,20,-21,130,1652,-1803,1138
-153,-1074,735,25,-18,132,1632,-1807,1145
-163,-1074,734,19,-19,129,1656,-1797,1148
-154,-1072,739,18,-17,126,1654,-1815,1143
-156,-1069,737,18,-13,130,1648,-1836,1158
-163,-1078,738,17,-23,137,1640,-1805,1161
-152,-1073,744,18,-16,125,1642,-1805,1168
-154,-1074,743,20,-18,124,1638,-1823,1168
-162,-1071,730,19,-18,127,1632,-1807,1165
-153,-1072,733,16,-21,135,1660,-1827,1145
-153,-1075,743,25,-14,128,1634,-1815,1131
-151,-1075,744,22,-16,127,1632,-1799,1139
-165,-1069,751,19,-10,122,1638,-1807,1123
-154,-1082,756,25,-20,134,1632,-1787,1162
-151,-1080,737,28,-19,138,1654,-1805,1123
-159,-1067,742,20,-20,130,1632,-1797,1152
-153,-1069,740,23,-16,134,1632,-1787,1162
-140,-1074,749,22,-18,134,1640,-1541,1129
-150,-1065,753,18,-11,122,1644,-1825,1123
-151,-1067,741,22,-22,137,1644,-1811,1135
-164,-1071,743,20,-14,136,1624,-1811,1134
-155,-1070,746,20,-9,132,1633,-1806,1145
-161,-1070,749,28,-23,143,1633,-1806,1162
-152,-1064,750,21,-5,126,1649,-1822,1138
-155,-1078,744,17,-13,124,1629,-1808,1113
-155,-1071,742,22,-13,122,1641,-1806,1175
-158,-1058,744,24,-22,137,1643,-1816,1145
-152,-1074,744,22,-21,135,1643,-1798,1121
-157,-1077,750,21,-16,130,1618,-1808,1128
-153,-1070,753,27,-20,132,1602,-1786,1144
-170,-1060,749,28,-22,134,1641,-1790,1149
-149,-1071,747,30,-18,134,1649,-1804,1137
-152,-1066,760,29,-21,130,1647,-1800,1137
-154,-1069,747,30,-19,134,1633,-1816,1150
-154,-1078,749,18,-17,130,1645,-1804,1137
-160,-1066,749,25,-16,132,1655,-1798,1160
-155,-1085,745,31,-28,148,1641,-1818,1147
-156,-1068,751,20,-18,128,1641,-1802,1163
-154,-1073,754,25,-20,133,1635,-1782,1144
-155,-1083,761,26,-21,139,1655,-1800,1160
-151,-1074,746,18,-13,126,1651,-1802,1136
-161,-1069,754,29,-23,144,1674,-1806,1169
-152,-1083,750,27,-22,139,1641,-1824,1154
-148,-1078,754,18,-18,131,1633,-1802,1175
-155,-1068,753,23,-15,126,1635,-1810,1178
-152,-1077,753,25,-21,136,1643,-1798,1124
-150,-1071,752,25,-25,137,1651,-1800,1133
-155,-1072,754,14,-10,126,1655,-1804,1142
-151,-1068,751,23,-17,126,1651,-1800,1140
-161,-1073,757,20,-9,141,1659,-1812,1152
-156,-1072,749,23,-19,140,1657,-1806,1139
-151,-1073,750,32,-24,140,1653,-1808,1160
-147,-1075,752,26,-26,139,1657,-1820,1121
-159,-1073,750,25,-9,129,1641,-1814,1158
-158,-1071,755,25,-21,137,1666,-1808,1161
-163,-1073,757,21,-11,123,1662,-1810,1138
-151,-1062,758,21,-12,120,1643,-1808,1140
-147,-1074,755,31,-18,132,1625,-1792,1154
-157,-1080,768,24,-24,137,1653,-1808,1163
-155,-1082,750,14,-9,120,1645,-1788,1104
-153,-1077,757,23,-21,141,1645,-1792,1141
-169,-1074,767,26,-11,133,1651,-1823,1158
-158,-1067,751,26,-17,131,1647,-1806,1150
