
520.00,-1.00,-1406.00, 5.00, 5.00, 5.00,520.00,-55.00,-1406.00
520.00,-1.00,-1406.00, 5.00, 5.00, 5.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 7.00, 7.00, 6.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 6.00, 6.00, 6.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 5.00, 5.00, 5.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 8.00, 8.00, 6.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 5.00, 5.00, 5.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 5.00, 4.00, 4.00,509.00,-52.00,-1403.00
509.00,-1.00,-1403.00, 3.00, 3.00, 3.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 5.00, 5.00, 5.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 7.00, 7.00, 7.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 5.00, 5.00, 4.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 3.00, 3.00, 3.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 6.00, 7.00, 7.00,511.00,-52.00,-1423.00
511.00,-1.00,-1423.00, 9.00, 8.00, 8.00,511.00,-52.00,-1402.00
519.00,-1.00,-1402.00, 6.00, 6.00, 6.00,519.00,-55.00,-1402.00
519.00,-1.00,-1402.00, 6.00, 6.00, 6.00,519.00,-55.00,-1402.00
519.00,-1.00,-1402.00, 4.00, 5.00, 5.00,519.00,-55.00,-1402.00
519.00,-1.00,-1402.00, 4.00, 4.00, 4.00,519.00,-55.00,-1402.00
519.00,-1.00,-1402.00, 5.00, 6.00, 6.00,519.00,-55.00,-1419.00
521.00,-1.00,-1419.00, 7.00, 7.00, 7.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 6.00, 6.00, 6.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 6.00, 6.00, 6.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 6.00, 6.00, 6.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 4.00, 5.00, 5.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 3.00, 3.00, 3.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 6.00, 6.00, 6.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 9.00, 9.00, 8.00,521.00,-49.00,-1419.00
521.00,-1.00,-1419.00, 8.00, 8.00, 8.00,521.00,-49.00,-1414.00
516.00,-1.00,-1414.00, 8.00, 8.00, 8.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 8.00, 6.00, 6.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 6.00, 6.00, 6.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 7.00, 7.00, 7.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 7.00, 7.00, 7.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 8.00, 8.00, 8.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 6.00, 6.00, 6.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 6.00, 6.00, 6.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 6.00, 6.00, 6.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 5.00, 5.00, 5.00,516.00,-50.00,-1414.00
516.00,-1.00,-1414.00, 5.00, 5.00, 5.00,516.00,-50.00,-1414.00
516.00,-1.00,-1400.00, 6.00, 6.00, 6.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 6.00, 5.00, 5.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 6.00, 6.00, 6.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 7.00, 5.00, 5.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 5.00, 5.00, 5.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 6.00, 6.00, 6.00,512.00,-40.00,-1400.00
512.00,-1.00,-1400.00, 8.00, 8.00, 8.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 4.00, 4.00, 4.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 4.00, 4.00, 4.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 4.00, 4.00, 4.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 5.00, 5.00, 5.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 6.00, 6.00, 6.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 8.00, 8.00, 8.00,515.00,-39.00,-1414.00
515.00,-1.00,-1414.00, 9.00, 9.00, 9.00,515.00,-39.00,-1414.00
