
ACCX_Angle -176.56	ACCY_Angle 177.03		GRYX_Angle -231.29	GYRY_Angle -226.96	GYRZ_Angle -226.86		CFangleX_Angle -181.25	CFangleY_Angle 171.36		HEADING  136.88	tiltCompensatedHeading 163.23
ACCX_Angle -176.20	ACCY_Angle 176.89		GRYX_Angle -231.50	GYRY_Angle -227.20	GYRZ_Angle -227.10		CFangleX_Angle -180.41	CFangleY_Angle 172.28		HEADING  136.88	tiltCompensatedHeading 165.40
ACCX_Angle -176.90	ACCY_Angle 176.67		GRYX_Angle -231.74	GYRY_Angle -227.44	GYRZ_Angle -227.33		CFangleX_Angle -179.90	CFangleY_Angle 172.96		HEADING  136.40	tiltCompensatedHeading 161.58
ACCX_Angle -176.66	ACCY_Angle 175.46		GRYX_Angle -231.96	GYRY_Angle -227.66	GYRZ_Angle -227.56		CFangleX_Angle -179.43	CFangleY_Angle 173.28		HEADING  136.40	tiltCompensatedHeading 164.46
ACCX_Angle -177.06	ACCY_Angle 176.44		GRYX_Angle -232.19	GYRY_Angle -227.89	GYRZ_Angle -227.79		CFangleX_Angle -179.14	CFangleY_Angle 173.73		HEADING  135.46	tiltCompensatedHeading 160.22
ACCX_Angle -177.03	ACCY_Angle 175.59		GRYX_Angle -232.42	GYRY_Angle -228.11	GYRZ_Angle -228.01		CFangleX_Angle -178.90	CFangleY_Angle 173.92		HEADING  135.46	tiltCompensatedHeading 161.73
ACCX_Angle -176.74	ACCY_Angle 176.78		GRYX_Angle -232.66	GYRY_Angle -228.36	GYRZ_Angle -228.25		CFangleX_Angle -178.66	CFangleY_Angle 174.30		HEADING  136.88	tiltCompensatedHeading 162.58
ACCX_Angle -176.66	ACCY_Angle 176.86		GRYX_Angle -232.88	GYRY_Angle -228.58	GYRZ_Angle -228.47		CFangleX_Angle -178.44	CFangleY_Angle 174.64		HEADING  136.88	tiltCompensatedHeading 162.91
ACCX_Angle -176.65	ACCY_Angle 176.27		GRYX_Angle -233.10	GYRY_Angle -228.80	GYRZ_Angle -228.70		CFangleX_Angle -178.26	CFangleY_Angle 174.78		HEADING  137.35	tiltCompensatedHeading 164.19
ACCX_Angle -176.99	ACCY_Angle 175.48		GRYX_Angle -233.33	GYRY_Angle -229.02	GYRZ_Angle -228.92		CFangleX_Angle -178.18	CFangleY_Angle 174.75		HEADING  137.35	tiltCompensatedHeading 163.61
ACCX_Angle -176.78	ACCY_Angle 176.78		GRYX_Angle -233.55	GYRY_Angle -229.24	GYRZ_Angle -229.14		CFangleX_Angle -178.08	CFangleY_Angle 174.97		HEADING  136.40	tiltCompensatedHeading 162.21
ACCX_Angle -176.29	ACCY_Angle 176.70		GRYX_Angle -233.80	GYRY_Angle -229.49	GYRZ_Angle -229.39		CFangleX_Angle -177.92	CFangleY_Angle 175.12		HEADING  136.40	tiltCompensatedHeading 164.91
ACCX_Angle -176.72	ACCY_Angle 176.88		GRYX_Angle -234.04	GYRY_Angle -229.74	GYRZ_Angle -229.63		CFangleX_Angle -177.88	CFangleY_Angle 175.28		HEADING  138.72	tiltCompensatedHeading 164.27
ACCX_Angle -177.29	ACCY_Angle 176.66		GRYX_Angle -234.27	GYRY_Angle -229.96	GYRZ_Angle -229.86		CFangleX_Angle -177.94	CFangleY_Angle 175.37		HEADING  138.72	tiltCompensatedHeading 161.69
ACCX_Angle -177.13	ACCY_Angle 176.23		GRYX_Angle -234.48	GYRY_Angle -230.17	GYRZ_Angle -230.07		CFangleX_Angle -177.95	CFangleY_Angle 175.38		HEADING  138.04	tiltCompensatedHeading 162.35
ACCX_Angle -176.71	ACCY_Angle 177.93		GRYX_Angle -234.71	GYRY_Angle -230.41	GYRZ_Angle -230.31		CFangleX_Angle -177.89	CFangleY_Angle 175.70		HEADING  137.17	tiltCompensatedHeading 162.01
ACCX_Angle -176.48	ACCY_Angle 177.46		GRYX_Angle -234.96	GYRY_Angle -230.66	GYRZ_Angle -230.56		CFangleX_Angle -177.81	CFangleY_Angle 175.85		HEADING  137.17	tiltCompensatedHeading 164.15
