
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.40	GYRY_Angle  0.50	GYRZ_Angle  0.58		CFangleX_Angle -179.41	CFangleY_Angle -161.22		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.41	GYRY_Angle  0.51	GYRZ_Angle  0.60		CFangleX_Angle -179.51	CFangleY_Angle -161.41		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.43	GYRY_Angle  0.53	GYRZ_Angle  0.61		CFangleX_Angle -179.58	CFangleY_Angle -161.57		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.45	GYRY_Angle  0.55	GYRZ_Angle  0.63		CFangleX_Angle -179.65	CFangleY_Angle -161.69		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.47	GYRY_Angle  0.57	GYRZ_Angle  0.65		CFangleX_Angle -179.69	CFangleY_Angle -161.79		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.49	GYRY_Angle  0.59	GYRZ_Angle  0.68		CFangleX_Angle -179.73	CFangleY_Angle -161.87		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.51	GYRY_Angle  0.61	GYRZ_Angle  0.70		CFangleX_Angle -179.76	CFangleY_Angle -161.93		HEADING  350.36	tiltCompensatedHeading 270.49
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.53	GYRY_Angle  0.63	GYRZ_Angle  0.72		CFangleX_Angle -179.78	CFangleY_Angle -161.97		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.55	GYRY_Angle  0.65	GYRZ_Angle  0.74		CFangleX_Angle -179.80	CFangleY_Angle -162.01		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.57	GYRY_Angle  0.67	GYRZ_Angle  0.77		CFangleX_Angle -179.82	CFangleY_Angle -162.04		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.60	GYRY_Angle  0.69	GYRZ_Angle  0.79		CFangleX_Angle -179.83	CFangleY_Angle -162.06		HEADING  350.36	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.24		GRYX_Angle  3.62	GYRY_Angle  0.72	GYRZ_Angle  0.82		CFangleX_Angle -179.83	CFangleY_Angle -162.08		HEADING  350.36	tiltCompensatedHeading 270.00
