secs,time, cad, hr, km, kph, watts, alt, lon, lat, slope, temp, lrbalance
593,73,71,157,0.78373,36.8856,117,96.8,144.414,-37.8818,-1.78E-16,22,47
594,74,72,157,0.7942,36.3924,102,96.8,144.414,-37.8817,-1.78E-16,22,45
595,75,72,157,0.80456,36.7488,105,96.8,144.414,-37.8816,-1.78E-16,22,45
596,76,72,158,0.81495,36.4068,127,96.8,144.414,-37.8816,-1.78E-16,22,47
597,77,72,158,0.82565,36.8136,121,96.8,144.414,-37.8815,-1.78E-16,22,48
598,78,73,158,0.83685,37.1412,105,96.8,144.414,-37.8814,-1.78E-16,22,50
599,79,73,158,0.84777,37.0728,88,96.8,144.414,-37.8813,-1.78E-16,22,48
600,80,73,158,0.85784,36.7272,80,96.8,144.414,-37.8812,-1.78E-16,22,53
601,81,73,158,0.86831,36.666,92,96.8,144.414,-37.8811,-1.78E-16,22,51
602,82,73,157,0.87823,36.99,117,96.8,144.414,-37.881,-1.78E-16,22,50
603,83,74,157,0.88856,36.9756,121,96.8,144.414,-37.8809,-1.78E-16,22,47
604,84,74,158,0.89928,37.53,88,96.8,144.414,-37.8808,-1.78E-16,22,48
605,85,74,158,0.90955,37.53,63,96.8,144.414,-37.8807,-1.78E-16,22,49
606,86,75,158,0.92021,37.5948,59,96.8,144.414,-37.8806,-1.78E-16,22,45
607,87,74,158,0.93064,37.9224,59,96.8,144.414,-37.8805,-1.78E-16,22,45
608,88,74,158,0.94135,38.5416,54,96.8,144.414,-37.8804,-1.78E-16,22,46
609,89,74,158,0.95167,38.5668,61,96.8,144.414,-37.8803,-1.78E-16,22,45
610,90,74,157,0.96233,38.646,65,96.8,144.414,-37.8802,-1.78E-16,22,45
611,91,74,157,0.97319,38.7504,58,96.8,144.414,-37.8801,-1.78E-16,22,46
612,92,73,156,0.98444,38.8728,30,96.8,144.414,-37.8801,-1.78E-16,22,46
613,93,74,155,0.99472,38.124,0,96.8,144.414,-37.88,-1.78E-16,22,46
614,94,84,155,1.00504,38.0016,0,96.8,144.414,-37.8799,-1.78E-16,22,46
615,95,71,155,1.01577,37.9656,71,96.8,144.414,-37.8798,-1.78E-16,22,52
616,96,66,155,1.02696,38.2788,73,96.8,144.414,-37.8797,-1.78E-16,22,55
617,97,72,154,1.0375,37.8792,70,96.8,144.414,-37.8796,-1.78E-16,22,53
618,98,70,154,1.04818,37.3788,53,96.8,144.413,-37.8795,-1.78E-16,22,46
619,99,71,154,1.05871,36.7668,0,96.8,144.413,-37.8794,-1.78E-16,22,46
620,100,70,155,1.06794,35.5428,0,96.8,144.413,-37.8794,-1.78E-16,22,46
621,101,17,155,1.07768,35.1648,0,96.8,144.413,-37.8793,-1.78E-16,22,46
622,102,59,156,1.08719,34.3188,0,96.8,144.413,-37.8792,-1.78E-16,22,46
623,103,66,157,1.09658,34.2684,71,96.8,144.413,-37.8791,-1.78E-16,22,6
624,104,67,157,1.10593,34.5636,187,96.8,144.413,-37.8791,-1.78E-16,22,25
625,105,71,158,1.11535,34.5024,184,96.8,144.413,-37.879,-1.78E-16,22,44
626,106,68,158,1.12511,35.0676,185,96.8,144.413,-37.8789,-1.78E-16,22,45
627,107,68,159,1.13478,35.5464,197,96.8,144.413,-37.8789,-1.78E-16,22,46
628,108,68,159,1.14452,35.6616,149,96.8,144.413,-37.8788,-1.78E-16,22,48
629,109,68,160,1.15459,36.1404,139,96.8,144.413,-37.8787,-1.78E-16,22,47
630,110,68,160,1.16438,36.2592,121,96.8,144.413,-37.8787,-1.78E-16,22,49
631,111,69,161,1.174,35.91,111,96.8,144.413,-37.8786,-1.78E-16,22,46
632,112,69,161,1.18342,35.0532,93,96.8,144.413,-37.8786,-1.78E-16,22,45
633,113,68,162,1.19287,35.712,80,96.8,144.412,-37.8785,-1.78E-16,22,46
634,114,68,163,1.20248,35.5752,73,96.8,144.412,-37.8785,-1.78E-16,22,43
635,115,68,164,1.21186,34.9596,64,96.8,144.412,-37.8784,-1.78E-16,22,44
636,116,76,165,1.22247,35.91,64,96.8,144.412,-37.8784,-1.78E-16,22,43
637,117,83,166,1.23293,35.7696,43,96.8,144.412,-37.8783,-1.78E-16,22,49
638,118,85,167,1.24238,34.7508,22,96.8,144.412,-37.8782,-1.78E-16,22,30
639,119,85,168,1.25212,34.7472,40,96.8,144.412,-37.8782,-1.78E-16,22,36
640,120,85,169,1.26179,34.6464,73,96.8,144.412,-37.8782,-1.78E-16,22,30
641,121,84,170,1.27158,34.6392,82,96.8,144.412,-37.8781,-1.78E-16,22,35
642,122,84,170,1.28149,35.334,81,96.8,144.412,-37.8781,-1.78E-16,22,39
643,123,84,171,1.29089,34.956,106,96.8,144.411,-37.878,-1.78E-16,22,45
644,124,83,170,1.30068,35.0028,109,96.8,144.411,-37.878,-1.78E-16,22,42
645,125,83,170,1.30989,34.5024,70,96.8,144.411,-37.878,-1.78E-16,22,47
646,126,83,170,1.31977,35.2368,52,96.8,144.411,-37.8779,-1.78E-16,22,46
647,127,83,170,1.32914,34.74,38,96.8,144.411,-37.8779,-1.78E-16,22,49
648,128,83,170,1.33858,34.3656,45,96.8,144.411,-37.8779,-1.78E-16,22,42
649,129,83,170,1.34752,33.9264,52,96.8,144.411,-37.8779,-1.78E-16,22,40
650,130,82,171,1.35633,33.1056,58,96.8,144.411,-37.8778,-1.78E-16,22,38
651,131,82,170,1.36548,33.2352,65,96.8,144.411,-37.8778,-1.78E-16,22,44
652,132,82,170,1.37497,33.6204,52,96.8,144.411,-37.8778,-1.78E-16,22,45
653,133,82,170,1.3839,32.994,42,96.8,144.41,-37.8778,-1.78E-16,22,43
654,134,82,170,1.39276,33.0696,47,96.8,144.41,-37.8778,-1.78E-16,22,43
655,135,82,169,1.40241,33.8724,62,96.8,144.41,-37.8778,-1.78E-16,22,42
656,136,82,168,1.41141,33.8004,85,96.8,144.41,-37.8777,-1.78E-16,22,42
657,137,82,167,1.42037,33.4548,90,96.8,144.41,-37.8777,-1.78E-16,22,47
658,138,82,166,1.42958,33.4296,91,96.8,144.41,-37.8777,-1.78E-16,22,43
659,139,81,165,1.43871,33.3684,96,96.8,144.41,-37.8777,-1.78E-16,22,46
