time, x, y, z
0.01996, -0.60547, 0.33643, -0.83984 
0.02011, -0.59668, 0.34277, -0.82764 
0.02026, -0.57520, 0.33789, -0.80811 
0.02041, -0.58057, 0.34375, -0.82812 
0.02056, -0.55469, 0.36572, -0.83398 
0.02071, -0.54541, 0.33984, -0.80566 
0.02086, -0.52832, 0.33154, -0.83691 
0.02101, -0.53271, 0.32422, -0.80029 
0.02116, -0.49609, 0.39600, -0.81006 
0.02131, -0.46729, 0.38086, -0.79199 
0.02146, -0.48730, 0.38818, -0.80420 
0.02161, -0.46387, 0.40430, -0.79395 
0.02176, -0.42969, 0.40332, -0.78613 
0.02191, -0.43604, 0.36719, -0.76514 
0.02206, -0.42041, 0.40869, -0.76514 
0.02221, -0.42725, 0.39893, -0.73877 
0.02236, -0.42676, 0.39404, -0.72998 
0.02251, -0.38965, 0.42676, -0.73877 
0.02266, -0.37500, 0.41895, -0.74902 
0.02281, -0.37549, 0.42871, -0.72949 
0.02296, -0.34033, 0.43604, -0.72021 
0.02311, -0.35254, 0.42627, -0.70947 
0.02326, -0.30322, 0.44043, -0.71729 
0.02341, -0.32471, 0.45557, -0.69287 
0.02356, -0.29346, 0.48877, -0.68164 
0.02371, -0.28955, 0.49365, -0.65527 
0.02386, -0.26611, 0.46143, -0.66357 
0.02401, -0.26172, 0.47412, -0.65430 
0.02416, -0.25244, 0.47852, -0.61475 
0.02431, -0.26514, 0.48193, -0.60693 
0.02446, -0.20264, 0.48193, -0.62793 
0.02461, -0.23047, 0.53174, -0.60547 
0.02476, -0.19580, 0.52148, -0.56396 
0.02491, -0.20117, 0.52490, -0.57324 
0.02506, -0.15479, 0.50391, -0.58838 
0.02521, -0.15576, 0.53174, -0.56152 
0.02536, -0.15918, 0.53564, -0.56738 
0.02551, -0.13086, 0.56445, -0.50830 
0.02566, -0.11084, 0.55859, -0.52393 
0.02581, -0.10547, 0.55322, -0.49854 
0.02596, -0.09668, 0.58105, -0.52393 
0.02611, -0.07910, 0.59180, -0.46729 
0.02626, -0.06787, 0.55762, -0.44385 
0.02641, -0.05664, 0.58838, -0.47656 
0.02656, -0.05664, 0.55762, -0.42676 
0.02671, -0.03320, 0.61230, -0.40527 
0.02686, 0.00537, 0.60156, -0.41602 
0.02701, -0.00781, 0.59619, -0.41260 
0.02716, -0.00977, 0.61816, -0.38770 
0.02731, -0.01904, 0.58789, -0.37012 
0.02746, 0.02197, 0.60107, -0.35938 
0.02761, 0.05713, 0.61182, -0.33105 
0.02776, 0.05957, 0.63037, -0.31543 
0.02791, 0.06885, 0.63770, -0.36523 
0.02806, 0.04834, 0.61182, -0.31641 
0.02821, 0.08594, 0.60693, -0.27734 
0.02836, 0.10352, 0.62402, -0.28223 
0.02851, 0.09180, 0.61816, -0.25732 
0.02866, 0.11475, 0.63574, -0.24316 
0.02881, 0.11230, 0.59717, -0.23291 
0.02896, 0.09668, 0.62793, -0.26367 
0.02911, 0.12695, 0.64941, -0.24023 
0.02926, 0.14160, 0.60938, -0.21094 
0.02941, 0.16895, 0.59473, -0.17773 
0.02956, 0.15771, 0.64355, -0.21289 
0.02971, 0.17139, 0.63818, -0.18457 
0.02986, 0.15430, 0.63623, -0.19238 
0.03001, 0.18213, 0.60938, -0.15820 
0.03016, 0.13916, 0.62549, -0.13525 
0.03031, 0.20068, 0.60596, -0.10645 
0.03046, 0.19775, 0.62744, -0.14941 
0.03061, 0.19092, 0.62158, -0.13086 
0.03076, 0.18164, 0.63916, -0.08838 
0.03091, 0.20068, 0.62305, -0.10059 
0.03106, 0.20117, 0.65088, -0.04688 
0.03121, 0.19385, 0.65234, -0.07471 
0.03136, 0.22803, 0.61475, -0.04346 
0.03151, 0.22754, 0.62744, -0.01562 
0.03166, 0.21777, 0.63574, 0.01562 
0.03181, 0.22461, 0.60938, -0.02148 
0.03196, 0.22266, 0.63867, 0.01270 
0.03211, 0.19043, 0.63867, 0.01270 
0.03226, 0.24707, 0.63379, 0.03467 
0.03241, 0.22949, 0.61035, 0.04785 
0.03256, 0.22998, 0.63330, 0.04590 
0.03271, 0.22656, 0.63330, 0.07178 
0.03286, 0.21436, 0.61035, 0.06055 
0.03301, 0.20850, 0.63037, 0.12695 
0.03316, 0.21289, 0.64551, 0.11475 
0.03331, 0.20801, 0.64551, 0.12305 
0.03346, 0.21875, 0.62109, 0.16016 
0.03361, 0.20898, 0.62598, 0.14111 
0.03376, 0.23535, 0.63477, 0.12012 
0.03391, 0.22461, 0.61914, 0.15820 
0.03406, 0.19824, 0.62012, 0.16406 
0.03421, 0.21338, 0.61426, 0.19873 
0.03436, 0.20996, 0.60156, 0.19189 
0.03451, 0.17676, 0.60156, 0.22998 
0.03466, 0.18994, 0.61523, 0.22119 
