time, x, y, z
0.04156, 0.48438, -0.25000, -0.90625 
0.04188, 0.44531, -0.29688, -0.89844 
0.04219, 0.45312, -0.22656, -0.86719 
0.04250, 0.43750, -0.25000, -0.82812 
0.04281, 0.45312, -0.21094, -0.89062 
0.04313, 0.44531, -0.28906, -0.89844 
0.04344, 0.46875, -0.28125, -0.83594 
0.04375, 0.50000, -0.28125, -0.91406 
0.04406, 0.46875, -0.28906, -0.80469 
0.04437, 0.42188, -0.25000, -0.89844 
0.04469, 0.50000, -0.25000, -0.96094 
0.04500, 0.45312, -0.25781, -0.84375 
0.04531, 0.42969, -0.25781, -0.88281 
0.04562, 0.44531, -0.31250, -0.88281 
0.04594, 0.46875, -0.26562, -0.94531 
0.04625, 0.45312, -0.25781, -0.77344 
0.04656, 0.43750, -0.24219, -0.88281 
0.04688, 0.42188, -0.26562, -0.75000 
0.04719, 0.43750, -0.27344, -0.91406 
0.04750, 0.53125, -0.26562, -0.96875 
0.04781, 0.53125, -0.26562, -0.96875 
0.04813, 0.44531, -0.28125, -0.85938 
0.04844, 0.50000, -0.24219, -0.92188 
0.04875, 0.44531, -0.26562, -0.81250 
0.04906, 0.45312, -0.21875, -0.90625 
0.04938, 0.46875, -0.26562, -0.86719 
0.04969, 0.42188, -0.22656, -0.86719 
0.05000, 0.42188, -0.25000, -0.82812 
0.05031, 0.44531, -0.29688, -0.90625 
0.05063, 0.44531, -0.25000, -0.90625 
0.05094, 0.46875, -0.24219, -0.79688 
0.05125, 0.40625, -0.22656, -0.90625 
0.05156, 0.46875, -0.28125, -0.89062 
0.05188, 0.46094, -0.26562, -0.77344 
0.05219, 0.39844, -0.22656, -0.85938 
0.05250, 0.43750, -0.29688, -1.01562 
0.05281, 0.43750, -0.30469, -0.90625 
0.05312, 0.42969, -0.25000, -0.85156 
0.05344, 0.45312, -0.26562, -0.85938 
0.05375, 0.43750, -0.25781, -0.83594 
0.05406, 0.40625, -0.20312, -0.88281 
0.05437, 0.45312, -0.26562, -0.89062 
0.05469, 0.41406, -0.25000, -0.82031 
0.05500, 0.43750, -0.27344, -0.87500 
0.05531, 0.42188, -0.26562, -0.89062 
0.05563, 0.45312, -0.25781, -0.87500 
0.05594, 0.44531, -0.23438, -0.89844 
0.05625, 0.44531, -0.23438, -0.89844 
0.05656, 0.50000, -0.26562, -0.89844 
0.05688, 0.46094, -0.28906, -0.86719 
0.05719, 0.48438, -0.26562, -0.90625 
0.05750, 0.43750, -0.25000, -0.78906 
0.05781, 0.43750, -0.25000, -0.78906 
0.05813, 0.42188, -0.23438, -0.88281 
0.05844, 0.44531, -0.25000, -0.81250 
0.05875, 0.46875, -0.28125, -0.79688 
0.05906, 0.37500, -0.17188, -0.86719 
0.05938, 0.48438, -0.32812, -0.89062 
0.05969, 0.44531, -0.22656, -0.85938 
0.06000, 0.45312, -0.29688, -0.81250 
0.06031, 0.42188, -0.25000, -0.90625 
0.06062, 0.44531, -0.28125, -0.82031 
0.06094, 0.47656, -0.24219, -0.91406 
0.06125, 0.44531, -0.27344, -0.82031 
0.06156, 0.40625, -0.24219, -0.87500 
0.06187, 0.45312, -0.23438, -0.90625 
0.06219, 0.45312, -0.26562, -0.78125 
0.06250, 0.41406, -0.20312, -0.88281 
0.06281, 0.52344, -0.27344, -0.92188 
0.06313, 0.46875, -0.28906, -0.90625 
0.06344, 0.52344, -0.26562, -0.93750 
0.06375, 0.42969, -0.22656, -0.86719 
0.06406, 0.41406, -0.28125, -0.91406 
0.06438, 0.42969, -0.26562, -0.90625 
0.06469, 0.42188, -0.24219, -0.88281 
0.06500, 0.43750, -0.26562, -0.89062 
0.06531, 0.42188, -0.21875, -0.89062 
0.06563, 0.49219, -0.23438, -0.92188 
0.06594, 0.42969, -0.25000, -0.80469 
0.06625, 0.50000, -0.28906, -0.92969 
0.06656, 0.46875, -0.30469, -0.84375 
0.06688, 0.45312, -0.27344, -0.89062 
0.06719, 0.45312, -0.27344, -0.89062 
0.06750, 0.43750, -0.26562, -0.95312 
0.06781, 0.41406, -0.23438, -0.92188 
0.06813, 0.44531, -0.25781, -0.94531 
0.06844, 0.55469, -0.27344, -0.98438 
0.06875, 0.46875, -0.28125, -0.82031 
0.06906, 0.46094, -0.22656, -0.92188 
0.06938, 0.42188, -0.24219, -0.89062 
0.06969, 0.43750, -0.21875, -0.86719 
0.07000, 0.42969, -0.28125, -0.92188 
0.07031, 0.44531, -0.25781, -0.89062 
0.07063, 0.46875, -0.23438, -0.93750 
0.07094, 0.42969, -0.22656, -0.92969 
