time, x, y, z
0.13300, -0.34180, -0.14648, 2.09961 
0.13400, -1.17188, -0.19531, 3.12500 
0.13500, -0.78125, -0.04883, 2.53906 
0.13600, -1.22070, -0.48828, 2.63672 
0.13700, -1.07422, -0.63477, 2.29492 
0.13800, -1.66016, -0.73242, 3.80859 
0.13900, -1.61133, -0.73242, 2.39258 
0.14000, -0.68359, -1.31836, 2.58789 
0.14100, -1.41602, -0.78125, 2.19727 
0.14200, -1.07422, -0.24414, 2.78320 
0.14300, -1.75781, 0.19531, 2.73438 
0.14400, -0.73242, -0.43945, 3.56445 
0.14500, -0.78125, -0.29297, 1.66016 
0.14600, -1.70898, 0.39062, 2.73438 
0.14700, -1.66016, -0.43945, 2.53906 
0.14800, -0.58594, -0.34180, 2.44141 
0.14900, -2.00195, -1.07422, 1.90430 
0.15000, -1.26953, -1.31836, 2.63672 
0.15100, -1.36719, -0.43945, 2.68555 
0.15200, -1.61133, -0.73242, 1.90430 
0.15300, -1.41602, -0.58594, 2.68555 
0.15400, -0.97656, -0.29297, 2.05078 
0.15500, -1.12305, -0.24414, 1.90430 
0.15600, -0.83008, -0.04883, 2.14844 
0.15700, -0.68359, 0.39062, 3.02734 
0.15800, -1.36719, -0.09766, 3.71094 
0.15900, -0.78125, -0.53711, 3.56445 
0.16000, -0.39062, -0.24414, 1.61133 
0.16100, -0.09766, -0.68359, 1.70898 
0.16200, -0.19531, 0.48828, 1.80664 
0.16300, -0.58594, -0.63477, 1.56250 
0.16400, -0.87891, -0.58594, 2.39258 
0.16500, -0.68359, -0.09766, 1.66016 
0.16600, -0.83008, -0.53711, 1.95312 
0.16700, -1.22070, -0.48828, 2.97852 
0.16800, -0.92773, 0.04883, 3.41797 
0.16900, -0.83008, -0.92773, 2.92969 
0.17000, -1.02539, -1.22070, 1.90430 
0.17100, -1.17188, -0.14648, 2.49023 
0.17200, -1.31836, -0.83008, 2.14844 
0.17300, -1.07422, -0.34180, 2.44141 
0.17400, -1.61133, 0.34180, 1.95312 
0.17500, -0.83008, -0.19531, 1.17188 
0.17600, -1.75781, 0.29297, 1.56250 
0.17700, -0.68359, -0.19531, 2.29492 
0.17800, -1.61133, -0.34180, 3.41797 
0.17900, -0.92773, 0.24414, 3.22266 
0.18000, -1.17188, -0.87891, 3.02734 
0.18100, -1.41602, -0.34180, 1.85547 
0.18200, -1.26953, -0.73242, 0.97656 
0.18300, -1.22070, -0.63477, 2.88086 
0.18400, -1.07422, 0.63477, 1.41602 
0.18500, -1.02539, -0.14648, 2.78320 
0.18600, -0.83008, 0.19531, 2.68555 
0.18700, -1.31836, -0.83008, 2.44141 
0.18800, -1.07422, -0.68359, 1.26953 
0.18900, -0.83008, -0.34180, 2.44141 
0.19000, -0.58594, -0.29297, 0.73242 
0.19100, -0.97656, -0.04883, 1.36719 
0.19200, -1.80664, -0.97656, 2.24609 
0.19300, -0.83008, -1.22070, 2.24609 
0.19400, -1.61133, 0.24414, 1.61133 
0.19500, -1.07422, -0.43945, 0.34180 
0.19600, -1.36719, -1.22070, 2.39258 
0.19700, -0.87891, -0.34180, 3.12500 
0.19800, -0.92773, -0.04883, 1.90430 
0.19900, -1.22070, -1.12305, 2.68555 
0.20000, -0.87891, -0.83008, 2.49023 
0.20100, -0.68359, -1.07422, 2.00195 
0.20200, -0.53711, -0.87891, 1.70898 
0.20300, -0.48828, -0.14648, 2.09961 
0.20400, -0.83008, 0.09766, 2.68555 
0.20500, -0.78125, -0.68359, 2.83203 
0.20600, -1.36719, -1.51367, 2.19727 
0.20700, -0.97656, -0.92773, 2.19727 
0.20800, -0.73242, -0.14648, 1.85547 
0.20900, -0.78125, -0.73242, 2.19727 
0.21000, -1.26953, -0.83008, 3.71094 
0.21100, -1.41602, -0.87891, 3.12500 
0.21200, -0.78125, -0.87891, 2.53906 
0.21300, -1.12305, 0.14648, 2.68555 
0.21400, -1.17188, 0.14648, 3.75977 
0.21500, -1.07422, -0.58594, 2.53906 
0.21600, -1.41602, -0.43945, 2.53906 
0.21700, -1.22070, -0.14648, 1.12305 
0.21800, -1.41602, -0.19531, 1.80664 
0.21900, -1.12305, -0.34180, 2.49023 
0.22000, -1.36719, -1.02539, 2.29492 
0.22100, -0.73242, -0.48828, 1.80664 
0.22200, -1.41602, -0.24414, 2.29492 
0.22300, -2.19727, 0.87891, 2.29492 
0.22400, -0.78125, -0.39062, 2.78320 
0.22500, -1.41602, -0.43945, 3.95508 
0.22600, -1.07422, 0.63477, 1.95312 
0.22700, -1.61133, -0.73242, 1.51367 
0.22800, -1.75781, -0.14648, 1.95312 
0.22900, -1.41602, -0.19531, 1.41602 
0.23000, -1.17188, -0.48828, 2.73438 
0.23100, -0.73242, 0.78125, 2.39258 
0.23200, -1.36719, -0.14648, 2.44141 
0.23300, -0.97656, -0.39062, 2.53906 
0.23400, -0.53711, -0.04883, 1.61133 
0.23500, -0.43945, -0.19531, 2.49023 
0.23600, -1.17188, 0.43945, 1.75781 
0.23700, -1.22070, -0.58594, 2.34375 
0.23800, -0.87891, -0.63477, 1.66016 
0.23900, -1.66016, -0.29297, 2.14844 
0.24000, -1.66016, 0.14648, 2.39258 
0.24100, -1.26953, 0.04883, 1.56250 
0.24200, -1.95312, 0.14648, 1.66016 
0.24300, -1.80664, 0.29297, 2.97852 
0.24400, -2.29492, 0.24414, 2.83203 
0.24500, -2.88086, -0.43945, 3.27148 
0.24600, -1.80664, 0.92773, 1.41602 
0.24700, -1.80664, -0.34180, 2.73438 
0.24800, -1.61133, -0.83008, 2.63672 
0.24900, -1.22070, 0.58594, 2.49023 
0.25000, -0.92773, -0.43945, 2.05078 
0.25100, -1.26953, 0.29297, 1.36719 
0.25200, -0.92773, -0.63477, 2.44141 
0.25300, -0.68359, 0.29297, 1.95312 
0.25400, -1.12305, -0.09766, 2.34375 
0.25500, -0.83008, 0.14648, 2.34375 
0.25600, -1.26953, -0.53711, 2.14844 
0.25700, -1.46484, -0.19531, 2.14844 
0.25800, -1.61133, -0.34180, 2.68555 
0.25900, -1.51367, -0.63477, 2.73438 
0.26000, -1.46484, 0.14648, 2.34375 
0.26100, -0.83008, -0.04883, 1.95312 
0.26200, -1.61133, 0.04883, 2.14844 
0.26300, -1.12305, 0.04883, 3.56445 
0.26400, -1.12305, -0.24414, 2.73438 
0.26500, -1.66016, 0.43945, 2.49023 
0.26600, -1.61133, -0.53711, 1.66016 
0.26700, -1.17188, -0.34180, 1.90430 
0.26800, -0.63477, 0.09766, 2.34375 
0.26900, -1.61133, 0.34180, 3.07617 
0.27000, -0.97656, -0.39062, 2.53906 
0.27100, -1.17188, -0.34180, 2.63672 
0.27200, -1.36719, -0.83008, 2.83203 
0.27300, -0.73242, -0.68359, 2.68555 
0.27400, -1.70898, -0.83008, 2.19727 
0.27500, -0.78125, -0.92773, 1.36719 
0.27600, -0.48828, -0.68359, 2.63672 
0.27700, -0.53711, 0.29297, 1.70898 
0.27800, -0.87891, -0.29297, 2.49023 
0.27900, -1.02539, -0.19531, 2.24609 
0.28000, -0.48828, -0.43945, 2.83203 
0.28100, -1.26953, 0.09766, 2.73438 
0.28200, -0.73242, -0.58594, 2.39258 
0.28300, -0.53711, -0.14648, 1.85547 
0.28400, -1.07422, -0.53711, 1.31836 
0.28500, -1.02539, -0.97656, 3.02734 
0.28600, -1.41602, -0.19531, 1.70898 
0.28700, -1.17188, -0.58594, 2.39258 
0.28800, -0.83008, -0.53711, 2.53906 
0.28900, -1.61133, -0.04883, 1.90430 
0.29000, -1.80664, -0.63477, 2.58789 
0.29100, -1.17188, -0.39062, 1.46484 
0.29200, -2.19727, -0.34180, 2.68555 
0.29300, -1.26953, -0.09766, 1.90430 
0.29400, -1.61133, -0.34180, 1.31836 
0.29500, -1.61133, 0.09766, 2.78320 
0.29600, -0.68359, -0.39062, 3.27148 
0.29700, -0.73242, 0.00000, 1.85547 
0.29800, -0.97656, -0.04883, 1.26953 
0.29900, -0.14648, 0.43945, 2.78320 
0.30000, -1.61133, 0.24414, 2.34375 
0.30100, -1.66016, -0.24414, 2.73438 
0.30200, -0.87891, 0.00000, 1.90430 
0.30300, -2.24609, -0.04883, 1.66016 
0.30400, -1.31836, -0.53711, 1.17188 
0.30500, -1.51367, -1.36719, 2.97852 
0.30600, -1.61133, -0.04883, 2.53906 
0.30700, -1.61133, -0.24414, 2.73438 
0.30800, -1.80664, -0.73242, 2.49023 
0.30900, -1.07422, 0.48828, 2.68555 
0.31000, -1.61133, 0.43945, 3.12500 
0.31100, -1.75781, 0.68359, 2.44141 
0.31200, -0.73242, -0.43945, 2.73438 
0.31300, -1.22070, -1.26953, 3.02734 
0.31400, -1.22070, -1.02539, 2.39258 
0.31500, -1.07422, -1.02539, 2.83203 
0.31600, -1.12305, 0.29297, 1.36719 
0.31700, -0.09766, 0.09766, 2.19727 
0.31800, -0.48828, -0.58594, 2.97852 
0.31900, -1.07422, -0.53711, 1.80664 
0.32000, -1.90430, -0.48828, 2.58789 
0.32100, -0.92773, -0.83008, 3.17383 
